date,EU-28 (excl NL),Austria,Belgium,Bulgaria,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,United Kingdom
20/03/2015,0.262258885,0.062888965,0.019905104,0.50094012,0.571899317,0.362066701,0.086003206,0.02417906,0.56013119,0.321207001,0.135722289,0.208814221,0,0.842132057,0.276645178,0.170640138,0.234142824,0.383364257,0.093397342,0.342720492
21/03/2015,0.252094903,0.053637336,0.016894395,0.503428795,0.647633564,0.297665955,0.073057131,0.00160806,0.539231704,0.321502335,0.162589087,0.249966846,0,0.775555863,0.327198769,0.190904445,0.266562709,0.490765917,0.094259189,0.347098956
22/03/2015,0.245888733,0.0422367,0.009206281,0.529649289,0.644377766,0.307121535,0.072409154,9.16E-05,0.526306937,0.32785381,0.171988071,0.278820902,0,0.805629217,0.333268769,0.202278885,0.225792263,0.402430641,0.064326901,0.338688911
23/03/2015,0.264057739,0.086593942,0,0.529710928,0.607553183,0.216954694,0.074225998,0.026693056,0.528554107,0.350766472,0.152503216,0.254561105,0,0.805202097,0.303909571,0.182384347,0.241696277,0.386757889,0.165864442,0.349747432
24/03/2015,0.273007026,0.093842919,0,0.566697039,0.625219492,0.427582597,0.072844555,0.027567379,0.555261702,0.366295507,0.148152908,0.24318856,0,0.832523173,0.274331275,0.169413723,0.216227906,0.346868708,0.158651699,0.365374438
25/03/2015,0.256768375,0.093133097,0.014068096,0.541990744,0.621048193,0.231864226,0.076397435,0.022456409,0.536836176,0.36945813,0.110696325,0.221162136,0,0.806037952,0.258360062,0.17122276,0.241226054,0.36067867,0.101690005,0.373348637
26/03/2015,0.256192225,0.07739424,0.019736754,0.5440382,0.598434341,0.33546162,0.076774456,0.014226961,0.541674918,0.332250685,0.109921499,0.163456659,0,0.827593385,0.275484638,0.173768101,0.260762533,0.412551712,0.116946712,0.341343009
27/03/2015,0.251114189,0.054504018,0.020645406,0.546316052,0.579225147,0.333704238,0.07730085,0.009485423,0.498900385,0.333609542,0.136768562,0.254680265,0,0.818201584,0.272146079,0.161885781,0.24036482,0.375939099,0.12109174,0.345459169
28/03/2015,0.225603348,0.040209786,0.021782264,0.525782867,0.575887167,0.258074653,0.061224407,0.000263584,0.454690201,0.34262089,0.133744118,0.150189807,0,0.795267466,0.281443844,0.158425048,0.174479072,0.284248088,0.082815718,0.285051775
29/03/2015,0.185907359,0.005293257,0.021811682,0.48262462,0.394515894,0.209078271,0.069894266,0.00014049,0.297541232,0.343360684,0.164186606,0.140569404,0,0.719436839,0.091497658,0.203245049,0.136825356,0.185045508,0.05567101,0.305225663
30/03/2015,0.186826806,0.004036363,0.020375005,0.484478925,0.47404303,0.222788219,0.07584347,0.008211247,0.261461906,0.327032284,0.162561819,0.163263957,0,0.677135986,0.169133161,0.193302016,0.177763491,0.297180192,0.097803974,0.300601901
31/03/2015,0.191562635,0.003901739,0.019903893,0.475660734,0.496114503,0.317750712,0.078448649,0.015294811,0.25601073,0.318003696,0.119554482,0.174140061,0,0.711684387,0.210281178,0.182130168,0.176318971,0.305614312,0.10969239,0.296067468
01/04/2015,0.18731237,0.003463291,0.020440648,0.52415928,0.50118346,0.266852277,0.079304721,0.019219033,0.25749462,0.26810031,0.106994964,0.191197179,0,0.6851345,0.118329115,0.18507773,0.203935554,0.354474251,0.08063532,0.316968263
02/04/2015,0.222759107,0.003357812,0.019752638,0.514186929,0.533406355,0.340522984,0.077452811,0.017810493,0.343586641,0.277875569,0.126449587,0.2241865,0,0.772400106,0.293844438,0.16051254,0.200514086,0.344860676,0.077699771,0.393402156
03/04/2015,0.229324871,0.003949155,0.020429583,0.498123262,0.540308395,0.354246434,0.076997956,0.004893145,0.42875092,0.313786273,0.122679939,0.118709188,0,0.761239143,0.34680754,0.151256079,0.201061282,0.297133069,0.076750464,0.406451299
04/04/2015,0.233875489,0.004135162,0.022633285,0.541586901,0.509926623,0.303645203,0.07217399,0.008305305,0.493070434,0.303979474,0.095358207,0.273488925,0,0.785920923,0.157607499,0.156746592,0.145475992,0.19334876,0.066567285,0.370410873
05/04/2015,0.22595091,0.004439123,0.020157739,0.530826436,0.536632182,0.29415151,0.074152321,0.008432593,0.44676467,0.291500217,0.090483229,0.276594188,0,0.771777176,0.109234625,0.207206319,0.137625855,0.182471943,0.054978018,0.400644016
06/04/2015,0.229596013,0.004224725,0.021281108,0.498141296,0.587654387,0.277207653,0.072034179,0.009077343,0.478564329,0.284343505,0.086550665,0.290814125,0,0.782774024,0.282535956,0.184322579,0.121834172,0.130513573,0.075893561,0.350192866
07/04/2015,0.23615131,0.043926576,0.021377226,0.462551059,0.602779726,0.210119151,0.091620706,0.017600631,0.467802307,0.298558834,0.077328011,0.273875401,0,0.766824357,0.267806486,0.16648766,0.17287829,0.2791063,0.094329179,0.332220583
08/04/2015,0.258054621,0.053270205,0.021042789,0.508672103,0.627511207,0.310325634,0.095488066,0.020253662,0.526669867,0.294533895,0.077640166,0.265870174,0,0.797523198,0.242844659,0.168951692,0.250464038,0.392534646,0.114366244,0.344805833
09/04/2015,0.267747158,0.054468043,0.02070478,0.503498322,0.620314872,0.418840815,0.09016922,0.019722813,0.534718542,0.324741591,0.069029588,0.262953602,0,0.809635038,0.260892196,0.177663575,0.245701567,0.384111099,0.165269269,0.347656049
10/04/2015,0.26223178,0.057128212,0.019693709,0.534308554,0.634634893,0.368235306,0.087433362,0.010640794,0.51892729,0.315552877,0.066248006,0.235074014,0,0.818222204,0.265597134,0.180890394,0.244331581,0.391924287,0.191723597,0.314837214
11/04/2015,0.215581192,0.035130155,0.022375521,0.643762893,0.569941339,0.260504175,0.06361234,0.000411326,0.354199045,0.296480286,0.073474779,0.157108952,0,0.753623739,0.309740629,0.19406217,0.258483354,0.41204899,0.211644301,0.225270781
12/04/2015,0.196177372,0.045168005,0.022207059,0.71386604,0.56414705,0.139396102,0.065710342,0.00191456,0.292805702,0.294394798,0.082886562,0.209053183,0,0.680665956,0.283874783,0.27334614,0.239197415,0.383252158,0.100284305,0.267432559
13/04/2015,0.219938424,0.036243868,0.02120966,0.710275977,0.560869872,0.17944451,0.066905656,0.02547858,0.364132032,0.291225848,0.081025083,0.220082489,0,0.671636603,0.242822508,0.249195363,0.231537246,0.37026011,0.121450195,0.301203395
14/04/2015,0.246264154,0.051633835,0.02016161,0.765562648,0.586458634,0.244279391,0.072953679,0.027866879,0.464323135,0.317859713,0.089093232,0.212955374,0,0.718192186,0.247998388,0.20080206,0.239479986,0.375518748,0.15621477,0.274177827
15/04/2015,0.238768984,0.045477954,0.020275975,0.757819299,0.596114744,0.224708988,0.072651954,0.022235527,0.408032054,0.363829243,0.094134631,0.240539813,0,0.709397747,0.266375158,0.184553824,0.248376857,0.38941105,0.18467053,0.276704623
16/04/2015,0.257514032,0.052665515,0.020600127,0.73523043,0.606813015,0.201112457,0.079269923,0.020558233,0.489827777,0.306242544,0.094081658,0.259417937,0,0.731990429,0.266468883,0.187735805,0.23632949,0.354890777,0.202365682,0.30464396
17/04/2015,0.262693091,0.054232027,0.021585789,0.731949694,0.57235195,0.266576875,0.07749301,0.023641029,0.511749794,0.310364966,0.08831127,0.275296932,0,0.782174838,0.267352683,0.164963969,0.202454944,0.281657787,0.20529624,0.303621039
18/04/2015,0.222520871,0.005075626,0.022089647,0.743909329,0.612422953,0.256284817,0.063723764,0.007475592,0.370411264,0.276523731,0.053243675,0.235164872,0,0.751212168,0.300022645,0.168457229,0.139589194,0.123807898,0.166249687,0.274934746
19/04/2015,0.226167017,0.005860831,0.021947047,0.74158163,0.566842011,0.245979886,0.067800797,0.008074897,0.390343678,0.297801528,0.060497414,0.309134491,0,0.735579596,0.326687004,0.228707506,0.158080032,0.168954044,0.15597529,0.274233586
